name,price,status,shipping,free_returns,items_sold
"Practice of Leadership : Developing the Next Generation of Leaders, Hardcover...",5584,Brand New,,False,
Marvel Comics HEROES REBORN 6 BOOK LOT DOOMSDAY YOUNG ALLIES REBEL # 1 VFNM 2000,1295,Pre-Owned,595,False,
"The Uncanny X-Men #455 ( Marvel, 2005 ) VF Grade",810,Pre-Owned,,False,
X-Treme X-Men 39 (1st Series) Salvador Larroca Cover,299,,499,False,
Heroes Reborn: Doom #1 (2000)VF~NM,799,New (Other),580,True,
The Uncanny X-Men #455 (Marvel Comics April 2005) NM/M 9.8 High Grade (T15),999,Brand New,499,False,
Heroes Reborn: Doom #1 (2000)VF~NM Sealed,299,,610,False,
Heroes Reborn: Doom #1 ~ MARVEL 2000 ~ Chris Claremont VF/NM,999,,499,True,
Uncanny X-Men #460 Marvel 2005 Newsstand RARE HTF Psylocke Cover Appearance,5000,Pre-Owned,,False,
"Linear Algebra : An Introduction to Abstract Mathematics, Paperback by Valenz...",7906,New (Other),,False,
Heroes Reborn Doom # 1 NM 1st Print Marvel Comic Book 7 J286,1399,Pre-Owned,698,True,
Heroes Reborn: Doom #1 (2000 Marvel Comics),599,Pre-Owned,599,True,
Heroes Reborn Doomsday #1 Doctor Doom 1999 Marvel Comics MCU Claremont Raw,1250,Pre-Owned,563,False,
Doom Heroes Reborn #1 NM Marvel Comic 2000,450,New (Other),620,False,
"XTREME X-MEN Vol. 7: Storm- The Arena- Claremont, Kordy, Hanna 2004 PB",1299,New (Other),,False,
The Fantastic Four Epic Collection Vol. #20 Into The Time Stream TPB Marvel Book,3500,Pre-Owned,475,True,
HAWKEYE EPIC COLLECTION THE WAY OF THE ARROW TPB Marvel Comics,3286,Brand New,599,False,
2001 Jogo CFL #71 Jon Nielsen Rookie RC - Toronto Argonauts - Claremont McKenna,211,Pre-Owned,844,False,
"Marvel Comics ""Heroes Reborn: Doom"" #1 (VF/NM 9.0) 1st App Lancer 2000",999,New (Other),499,True,
Heroes Reborn: Doomsday #1 NM- Doctor Doom 2000,1295,New (Other),655,True,
Heroes Reborn Doom #1 Doctor Ashema Fourth Host 2000 Marvel Comics F+,404,Pre-Owned,599,False,
X-MEN BLACK SUN #2 MARVEL COMICS 2000 BAGGED & BOARDED,725,,,True,
Heroes Reborn: Doom #1 NM- 9.2 2000 Mike McKone Cover,994,Pre-Owned,549,True,
Uncanny X-Men #455 Marvel Comic Book NM,446,New (Other),495,False,
"XTREME X-MEN Vol. 7: Storm- The Arena- Claremont, Kordy, Hanna *'04 1st PB Print",799,Brand New,465,False,
FANTASTIC FOUR EPIC COLLECTION: INTO THE TIME STREAM (The Fantastic Four Epi...,3667,Pre-Owned,,True,
X-Men Black Sun #2 2000 Marvel Comics High Grade Comic Book H73-222,999,New (Other),199,True,
Marvel Tales #198  MARVEL Comics 1987 VF,700,,399,True,
"Contentious Spirits : Religion in Korean American History, 1903-1945, Paperba...",3226,New (Other),,False,
Heroes Reborn Doomsday Comic 1 NM First Print Cover A Mike McKone 2000 Claremont,1500,New (Other),636,False,
Heroes Reborn: Doomsday #1 (2000) Dr Doom ~ Marvel Comics,599,,715,True,
"Uncanny X-Men #457 Newsstand 1:50 RARE 1,726 Copies 1st App Viri Marvel 2005",3000,Pre-Owned,521,False,
Hawkeye Epic Collection Vol 2 The Way of the Arrow New Marvel TPB Paperback,3495,Brand New,395,False,
Heroes Reborn: Aschema #1  - NM (2000),399,,499,False,
DOOMSDAY - HEROES REBORN #1 (NM) Claremont McKone Marvel 2000 High Grade,1898,New (Other),844,False,
"Linear Algebra : An Introduction to Abstract Mathematics, Paperback by Valenz...",7906,Brand New,,False,
Heroes Reborn Dr Doom Comic Vol 1 No 1  Direct Edition Marvel Jan 2000 VG-Fine,699,Pre-Owned,550,True,
X-MEN BLACK SUN #2 (2000) - CGC GRADE 9.6 - VINCE EVANS PAINTED COVER!,5000,New (Other),1600,False,
Heroes Reborn Doomsday #1 1st Appearance of Lancer Marvel Comics,1995,,650,False,
"X-MEN PREMIUM EDITION (Marvel Comics, 1993) 1st Deadpool & X-MEN Meeting KEY",900,Pre-Owned,562,False,
X-Treme X-Men Comic 39 Cover A First Print 2004 Chris Claremont Igor Kordey,1345,Pre-Owned,,True,
HEROES REBORN: DOOM 1 • One Shot • Marvel Comics 2000,800,,695,False,
"Heroes Reborn Doomsday 1, Doctor Doom 1999, Marvel Comics MCU, FN Condition",1199,,715,True,
X-Men:Black Sun Lot of (5) Marvel Comics X-Men 25th Anniversary All -New X-Men,1495,,1140,False,
Heroes Reborn Doomsday Comic 1 First Print Cover A Mike McKone 2000 Claremont,1998,,542,False,
2000 Marvel Comic Heroes Reborn: DOOM #1 Iconic Dr. Doom Cover High Grade! /M20,999,,699,True,
Uncanny X-Men #455 Marvel Comics 2005 NM,599,New (Other),499,False,
Heroes Reborn Doomsday # 1 NM 1st Print Marvel Comic Book Dr. Doom Key 1 MS1,3999,,,True,
"Marvel Comics, Doom, Vol 1, No. 1 January 2000 Direct Edition",300,Pre-Owned,615,True,
Fantastic Four Epic Collection: into the Time Stream Paperback,3643,Pre-Owned,,False,
Marvel comics Exiles (2001 series) #61,1619,Pre-Owned,739,True,
HEROES REBORN DOOMSDAY & DOOM #1 DYNAMIC FORCES SET SIGNED SET COA DOCTOR MOVIE,5148,Brand New,2442,False,
Marvel 2004 XTREME X-MEN Comic Book Issue # 39 Storm the Arena 2001 Series,1943,Pre-Owned,,True,
HEROES REBORN: DOOM #1 ONE-SHOT  MARVEL Comics COMIC BOOK MCU /M17 /,1299,,699,True,
"FANTASTIC FOUR EPIC - Paperback, by Simonson Walt; Fingeroth - Very Good",3627,Pre-Owned,,True,
The Uncanny X-Men #455 (Marvel Comics April 2005),699,Pre-Owned,462,False,
Marvel Comics - Heroes Reborn: Doom #1 - 2000,999,New (Other),463,False,
Marvel Tales #198  MARVEL Comics 1987 VF,700,,399,True,
"Linear Algebra : An Introduction to Abstract Mathematics, Paperback by Valenz...",7906,Brand New,,False,
Heroes Reborn Doomsday #1 1st Appearance of Lancer Marvel Comics,1995,,650,False,
Heroes Reborn Doomsday Doctor Doom CGC 9.8 Low census,23500,Brand New,1500,True,
HEROES REBORN: DOOM 1 • One Shot • Marvel Comics 2000,800,,695,False,
Marvel comics Exiles (2001 series) #61,1619,Pre-Owned,739,True,
DOOMSDAY - HEROES REBORN #1 (NM) Claremont McKone Marvel 2000 High Grade,1898,New (Other),844,False,
Uncanny X-men #455 Psylocke Cover Key VF w/ Poster Claremont 1st Print Marvel,1499,,500,True,
Marvel 2004 XTREME X-MEN Comic Book Issue # 39 Storm the Arena 2001 Series,1943,Pre-Owned,,True,
"UNCANNY X-MEN, Vol. 1 #455 (2005) NM | KEY! 1st App. of HAUK'KA",1039,New (Other),519,False,
Tom DeFalco Marvel Vario Hawkeye Epic Collection: The Way of The Arr (Paperback),4597,Brand New,,False,
HEROES REBORN: DOOM #1 ONE-SHOT  MARVEL Comics COMIC BOOK MCU /M17 /,1299,,699,True,
"Practice of Leadership : Developing the Next Generation of Leaders, Hardcover...",5584,Brand New,,False,
Heroes Reborn DOOMSDAY # 1 NM Marvel Comic Book Dr. Doom Iron Man 23 J239,4400,Pre-Owned,,True,
