name,price,status,shipping,free_returns,items_sold
"Apple 2019 MacBook Air 13"" 1.6GHz Dual-Core i5 16GB RAM 128GB SSD - Very good",33999,Very Good - Refurbished,,True,
"13"" Apple MacBook Air 2019 1.6GHz Intel Core i5 16GB RAM 256GB SSD Gray - Good",29999,Good - Refurbished,,True,
"Apple Macbook Air 13"" Laptop | i5 4GB RAM + 128GB SSD | MacOS Big Sur | Warranty",12825,Pre-Owned,,True,
"New Listing2019 Apple MacBook Air 13"" - 256GB - Retina - A1932 - 8GB",20999,Pre-Owned,,True,
Apple 2024 MacBook Pro 16-inch M4 Pro 24GB RAM 512GB SSD Space Black MX2X3LL/A,189900,Open Box,,True,
Apple 2024 MacBook Pro 14-inch M4 Chip 16GB RAM 512GB SSD Space Black MW2U3LL/A,129900,Open Box,,True,
APPLE MACBOOK PRO MPXQ2LL/A | INTEL CORE I5-7360U | 128GB | 8GB RAM | VENTURA,21999,Pre-Owned,,True,
"Apple MacBook Pro 16"" Late 2021 M1 Max 3.2GHz 1TB SSD 64GB RAM Silver, Good",126999,Good - Refurbished,,True,
"Apple Macbook Air 2013 A1465 11"" I5 1.3GHz 4GB 128GB SSD MD711LL/A Laptop",7498,Pre-Owned,,True,
"Apple MacBook 13"" Laptop READY TO USE w/ macOS 10.13 HIGH SIERRA !!!",9999,Pre-Owned,,True,
Apple MacBook Air with M1 Chip 13-inch 16GB 512GB SSD 8GPU Space Gray - OSX 2024,59900,Excellent - Refurbished,,True,
"Apple MacBook Pro 13.3"" Intel Core i5 2.5ghz, 16GB Ram , 500GB Hdd MacOS 10.15",10500,Pre-Owned,,True,
Apple Macbook Pro 13 Inch | i5 8GB RAM + 128GB SSD | OS High Sierra | WARRANTY,10900,Pre-Owned,,False,
"New Listing2020 Apple MacBook Air 13.3"" (256GB SSD, Apple M1, 8GB) Used",39999,Pre-Owned,,True,
Apple MacBook Pro 2021 16in M1 Pro 10 CPU 16 GPU 16GB RAM 1TB SSD Very Good,89959,Very Good - Refurbished,,True,
